Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
CELL CYCLE;39/157;1,49590935164649e-20;3,23209393154765e-18;39;0,248407643312102;PCNA;MCM7;PRKDC;CDCA5;BUB1B;TTK;PKMYT1;AURKB;CDC20;CCNB2;CCNB1;ORC6;CDC45;PTTG1;CHEK2;CHEK1;E2F1;E2F2;ZNF367;BUB1;CDT1;CDKN2A;PLK1;KNL1;CDC6;CDC25C;CDC25A;NDC80;TICRR;CCNA2;TFDP1;ESPL1;CCNE1;CDK1;MCM4;MCM5;MCM6;TRIP13;MAD2L1
CORNIFIED ENVELOPE FORMATION;45/214;2,25233026588686e-20;3,23209393154765e-18;45;0,210280373831776;SPRR2E;COL17A1;SPRR2F;SPRR3;SPRR2G;KRT80;ITGB4;KRT23;LAMC2;ABCA12;CLDN1;LCE3D;SPRR2A;KRT6C;KRT6B;SPRR2D;KRT6A;CERS3;ST14;JUP;S100A2;KRT13;KRT5;KRT10;KRT31;KRT75;KRT19;KRT17;PPP2R2C;KRT16;KRT15;COL7A1;TMEM79;KRT14;PADI3;COL4A6;PKP2;PKP1;DSG2;ITGA6;DSG3;SPRR1A;SPRR1B;IVL;S100A7
MICRORNAS IN CANCER;25/160;4,86712349108616e-09;4,65621480647242e-07;25;0,15625;NOTCH3;CDCA5;CLSTN1;EFNA4;HOXD10;SLC7A1;PLAU;STMN1;E2F1;E2F2;SOX4;TP63;ST14;ABCC1;CDKN2A;KIF23;CDC25C;MMP9;CDC25A;SERPINB5;EFNA3;CYP24A1;CCNE1;FSCN1;EZH2
P53 SIGNALING PATHWAY;14/75;1,33072889388814e-06;9,54797981364741e-05;14;0,186666666666667;RRM2;CDKN2A;IGFBP3;SERPINB5;CCNB2;CCNB1;CCNE1;CHEK2;PERP;CHEK1;CDK1;PMAIP1;GTSE1;TP73
CELLULAR SENESCENCE;20/156;4,08830471973146e-06;0,000234668690912586;20;0,128205128205128;CALML5;CDKN2A;IGFBP3;CLSTN1;CALML3;FOXM1;CDC25A;CCNA2;CCNB2;CCNB1;CCNE1;ARTN;CHEK2;TRPV4;CHEK1;EIF4EBP1;CDK1;E2F1;E2F2;MYBL2
DNA REPLICATION;9/35;6,72500607572528e-06;0,000321679457288859;9;0,257142857142857;RFC5;FEN1;RNASEH2A;PCNA;RFC4;MCM7;MCM4;MCM5;MCM6
CYTOSKELETON IN MUSCLE CELLS;24/230;1,72507697245622e-05;0,000707281558707052;24;0,104347826086957;FBN2;JUP;ITGB4;COL11A1;ATP1B3;THBS2;LMNB2;LMNB1;COL1A1;COL3A1;COL1A2;COL5A1;TNNT1;COL5A2;ITGA11;COL4A6;PKP2;SDC1;ITGB8;DSG2;ITGA6;PDLIM4;SPTBN2;DSC3
ECM-RECEPTOR INTERACTION;12/88;0,000187853774012445;0,00673925414269646;12;0,136363636363636;COL1A1;COL1A2;ITGB4;ITGA11;COL4A6;ITGB8;SDC1;LAMC2;ITGA6;HMMR;THBS2;LMNB2
ESTROGEN SIGNALING PATHWAY;15/135;0,000321239265647185;0,00948468549834471;15;0,111111111111111;CALML5;CLSTN1;KRT13;TGFA;KRT23;CALML3;KRT10;KRT31;MMP9;KRT19;KRT17;KRT16;KRT15;KRT14;FKBP4
OOCYTE MEIOSIS;15/136;0,000348053961299295;0,00948468549834471;15;0,110294117647059;CALML5;PLK1;CALML3;CDC25C;PKMYT1;AURKA;CDC20;CCNB2;CCNB1;PTTG1;ESPL1;CCNE1;CDK1;BUB1;MAD2L1
PROGESTERONE-MEDIATED OOCYTE MATURATION;13/108;0,000363524531295442;0,00948468549834471;13;0,12037037037037;CLSTN1;PLK1;KIF22;CDC25C;PKMYT1;CDC25A;AURKA;CCNA2;CCNB2;CCNB1;CDK1;BUB1;MAD2L1
MOTOR PROTEINS;18/190;0,000612947261865587;0,0137341030909546;18;0,0947368421052632;TUBB;KIF14;KIF23;KIF11;KIF22;TUBG1;MYO19;KIF15;TUBA1C;CENPE;KLC3;KIF18B;TNNT1;KIFC1;KIF4A;KIF2C;KIF20A;KIF3C
AMOEBIASIS;12/100;0,000622102230600733;0,0137341030909546;12;0,12;COL1A1;SERPINB3;SERPINB4;COL3A1;COL1A2;SERPINB13;AKR1C1;CLSTN1;COL4A6;HSPB1;LAMC2;LMNB2
PROTEIN DIGESTION AND ABSORPTION;12/102;0,000744311074456848;0,0152583770263654;12;0,117647058823529;COL17A1;COL1A1;MMP12;COL3A1;COL1A2;COL5A1;COL11A1;COL7A1;COL5A2;COL4A6;COL10A1;ATP1B3
HOMOLOGOUS RECOMBINATION;7/41;0,00106945996499804;0,0199168935928858;7;0,170731707317073;BLM;RAD51;EME1;ARTN;XRCC2;RAD54L;TOPBP1
FANCONI ANEMIA PATHWAY;8/53;0,00111034946859294;0,0199168935928858;8;0,150943396226415;FANCI;RMI2;BLM;RAD51;EME1;UBE2T;FANCE;FANCG
HUMAN PAPILLOMAVIRUS INFECTION;25/328;0,00155557893686962;0,026261832640093;25;0,0762195121951219;NOTCH3;ITGB4;CLSTN1;PARD6G;LAMC2;FZD10;THBS2;LMNB2;EIF4EBP1;E2F1;DVL3;ITGB8;HES2;JAG1;WNT7B;TUBG1;COL1A1;CCNA2;COL1A2;PKM;PPP2R2C;CCNE1;ITGA11;COL4A6;ITGA6
